Ticker,Nome,Preço Atual
RNEW4,Renova Energia S.A.,0.97
ROMI3,Romi S.A.,8.88
RPAD3,Alfa Holdings S.A.,4.2
RPAD5,Alfa Holdings S.A.,7.15
RPAD6,Alfa Holdings S.A.,4.23
RPMG3,Refinaria de Petróleos de Manguinhos S.A.,2.9
RSID3,Rossi Residencial S.A.,2.03
RSUL4,Metalúrgica Riosulense S.A.,67.35
SANB11,Banco Santander (Brasil) S.A.,29.12
SANB3,Banco Santander (Brasil) S.A.,13.87
SANB4,Banco Santander (Brasil) S.A.,15.17
SAPR11,Companhia de Saneamento do Paraná - SANEPAR,36.63
SAPR3,Companhia de Saneamento do Paraná - SANEPAR,7.26
SAPR4,Companhia de Saneamento do Paraná - SANEPAR,7.35
SBFG3,Grupo SBF S.A.,11.47
SBSP3,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,114.03
SCAR3,São Carlos Empreendimentos e Participações S.A.,16.96
SEER3,Ser Educacional S.A.,9.9
SEQL3,Sequoia Logística e Transportes S.A.,1.08
SHOW3,T4F Entretenimento S.A.,6.68
SHUL4,Schulz S.A.,5.16
SIMH3,SIMPAR S.A.,5.34
SLCE3,SLC Agrícola S.A.,18.5
SMFT3,Smartfit Escola de Ginástica e Dança S.A.,23.83
SMTO3,São Martinho S.A.,19.04
SNSY3,Sansuy S.A.,11.4
SNSY5,Sansuy S.A.,4.4
SOJA3,Boa Safra Sementes S.A.,11.39
SOND5,Sondotécnica Engenharia de Solos S.A.,44.0
SOND6,Sondotécnica Engenharia de Solos S.A.,37.85
SRNA3,Serena Energia S.A.,11.63
STBP3,Santos Brasil Participações S.A.,13.7
SUZB3,Suzano S.A.,51.75
SYNE3,Syn Prop & Tech S.A.,6.09
TAEE11,Transmissora Aliança de Energia Elétrica S.A.,34.26
TAEE3,Transmissora Aliança de Energia Elétrica S.A.,11.36
TAEE4,Transmissora Aliança de Energia Elétrica S.A.,11.4
TASA3,Taurus Armas S.A.,7.51
TASA4,Taurus Armas S.A.,7.0
TCSA3,Tecnisa S.A.,1.15
TECN3,Technos S.A.,6.7
TELB3,Telecomunicações Brasileiras S.A. - Telebras,11.98
TELB4,Telecomunicações Brasileiras S.A. - Telebras,8.52
TEND3,Construtora Tenda S.A.,23.44
TFCO4,Track & Field Co S.A.,14.29
TGMA3,Tegma Gestão Logística S.A.,34.4
TIMS3,TIM S.A.,21.27
TKNO4,Tekno S.A. Indústria e Comércio,82.0
TOTS3,TOTVS S.A.,41.73
TPIS3,Triunfo Participações e Investimentos S.A.,3.98
TRAD3,TC S.A.,7.15
TRIS3,Trisul S.A.,7.71
TTEN3,Três Tentos Agroindustrial S/A,14.41
TUPY3,Tupy S.A.,18.3
UCAS3,Unicasa Indústria de Móveis S.A.,1.45
UGPA3,Ultrapar Participações S.A.,16.96
UNIP3,Unipar Carbocloro S.A.,53.7
UNIP5,Unipar Carbocloro S.A.,58.0
UNIP6,Unipar Carbocloro S.A.,58.12
USIM3,Usinas Siderúrgicas de Minas Gerais S.A.,4.36
USIM5,Usinas Siderúrgicas de Minas Gerais S.A.,4.35
VALE3,Vale S.A.,50.55
VAMO3,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",4.29
VBBR3,Vibra Energia S.A.,21.53
VITT3,Vittia S.A.,4.4
VIVA3,Vivara Participações S.A.,25.09
VIVR3,Viver Incorporadora e Construtora S.A.,0.87
VIVT3,Telefônica Brasil S.A.,30.45
VLID3,Valid Soluções S.A.,25.57
VSTE3,Veste S.A. Estilo,5.85
VTRU3,"Vitru Brasil Empreendimentos, Participações e Comércio S.A",9.06
VULC3,Vulcabras S.A.,19.86
VVEO3,CM Hospitalar S/A,1.18
WEGE3,WEG S.A.,41.6
WEST3,Westwing Comércio Varejista S.A.,4.25
WHRL3,Whirlpool S.A.,4.45
WHRL4,Whirlpool S.A.,4.82
WIZC3,Wiz Co Participações e Corretagem de Seguros S.A.,7.85
WLMM3,WLM Participações e Comércio de Máquinas e Veículos S.A.,24.25
WLMM4,WLM Participações e Comércio de Máquinas e Veículos S.A.,25.74
YDUQ3,Yduqs Participações S.A.,16.26
ZAMP3,Zamp S.A.,3.47
